County,CAN-Active,APV-Active,DEM-Active,GRN-Active,LBR-Active,REP-Active,UAF-Active,UNI-Active,Total-Active,CAN-Inactive,APV-Inactive,DEM-Inactive,GRN-Inactive,LBR-Inactive,REP-Inactive,UAF-Inactive,UNI-Inactive,Total-Inactive,CAN-Prereg,APV-Prereg,DEM-Prereg,GRN-Prereg,LBR-Prereg,REP-Prereg,UAF-Prereg,UNI-Prereg,Total-Prereg,Total
Mesa,493,108,"17,900",205,"1,267","42,348","45,789",74,"108,184",61,8,"1,541",29,144,"3,129","4,928",12,"9,852",2,1,71,8,4,240,"1,348",1,"1,675","119,711"
Mineral,1,,229,,3,325,315,,873,,,18,,1,35,35,,89,,,,,,,4,,4,966
Moffat,53,13,717,8,81,"4,309","3,523",6,"8,710",6,1,66,1,12,324,409,,819,,,4,,2,33,120,,159,"9,688"
Montezuma,74,18,"3,603",51,161,"7,717","7,353",12,"18,989",12,,455,11,19,733,943,,"2,173",,,3,,,29,196,,228,"21,390"
Montrose,145,24,"4,632",41,257,"12,798","11,849",34,"29,780",17,2,277,7,21,683,801,3,"1,811",,,9,,,79,386,,474,"32,065"
Morgan,87,40,"2,981",23,138,"6,982","7,102",16,"17,369",5,1,166,,18,312,435,1,938,1,,12,1,1,31,237,,283,"18,590"
Otero,68,30,"3,281",16,74,"4,218","4,599",20,"12,306",8,,204,1,7,206,448,1,875,,,7,,,40,219,,266,"13,447"
Ouray,10,3,"1,276",18,51,"1,162","2,074",1,"4,595",3,1,51,1,5,86,100,,247,,,10,,,3,31,,44,"4,886"
Park,62,2,"2,640",56,230,"5,140","6,557",6,"14,693",12,,246,9,32,501,692,,"1,492",,,8,,,18,122,,148,"16,333"
Phillips,10,,360,,21,"1,542",932,,"2,865",,,10,,3,65,46,,124,,,1,,,9,35,,45,"3,034"
Pitkin,23,4,"5,195",65,147,"1,888","6,621",8,"13,951",4,,285,7,22,129,461,2,910,,,36,1,2,6,115,,160,"15,021"
Prowers,38,21,"1,282",7,30,"3,075","2,683",10,"7,146",3,,83,1,3,187,251,,528,,,5,,,22,118,,145,"7,819"
Pueblo,539,152,"40,296",246,"1,016","27,358","42,737",122,"112,466",40,7,"1,753",38,129,"1,402","3,122",13,"6,504",2,,121,1,3,120,"1,577",,"1,824","120,794"
Rio Blanco,12,1,263,4,39,"2,725","1,335",1,"4,380",,,27,,7,165,182,,381,1,,2,,,39,59,,101,"4,862"
Rio Grande,40,13,"2,065",19,54,"2,829","2,800",9,"7,829",4,1,173,1,12,290,321,,802,,,2,,,2,110,,114,"8,745"
Routt,53,8,"5,585",75,204,"4,429","9,415",9,"19,778",6,,344,12,37,374,744,2,"1,519",,,32,,1,27,186,,246,"21,543"
Saguache,17,10,"1,623",13,51,879,"1,839",2,"4,434",3,,105,5,4,74,184,,375,,,1,,,7,48,,56,"4,865"
San Juan,3,,179,3,18,128,387,1,719,1,,8,1,3,15,34,,62,,,,,,,3,,3,784
San Miguel,13,4,"2,607",43,73,835,"2,513",8,"6,096",2,,160,8,12,92,214,1,489,,,14,,,6,67,,87,"6,672"
Sedgwick,10,1,246,3,8,902,542,1,"1,713",,,18,,1,54,60,,133,,,2,,,2,19,,23,"1,869"
Summit,43,15,"6,592",77,300,"3,772","11,219",17,"22,035",7,1,738,18,53,574,"1,400",2,"2,793",,,34,,,16,200,,250,"25,078"
Teller,87,7,"2,733",46,269,"8,394","7,884",13,"19,433",14,,241,6,35,848,761,1,"1,906",,,6,,1,16,166,,189,"21,528"
Washington,25,4,252,3,23,"2,208",862,3,"3,380",2,,19,,5,77,45,1,149,,,,,,21,30,,51,"3,580"
Weld,893,280,"42,658",356,"2,309","71,027","90,915",190,"208,628",88,10,"2,074",34,213,"3,876","5,607",12,"11,914",2,,147,4,14,456,"3,219",,"3,842","224,384"
Yuma,16,5,624,3,41,"3,081","2,078",5,"5,853",2,,22,,3,101,114,,242,,,3,1,,41,91,,136,"6,231"
